,title,documents,links
0,"
                Overview - Agoraphobia
              ","Agoraphobia is a fear of being in situations where escape might be difficult or that help wouldn't be available if things go wrong.Many people assume agoraphobia is simply a fear of open spaces, but it's actually a more complex condition.Someone with agoraphobia may be scared of:If someone with agoraphobia finds themselves in a stressful situation, they'll usually experience the symptoms of a panic attack, such as:They'll avoid situations that cause anxiety and may only leave the house with a friend or partner. They'll order groceries online rather than going to the supermarket. This change in behaviour is known as avoidance.Read more about the symptoms of agoraphobia.",https://www.nhs.uk/mental-health/conditions/agoraphobia/overview/
1,"
                Overview - Agoraphobia
              ","Agoraphobia can develop as a complication of panic disorder, an anxiety disorder involving panic attacks and moments of intense fear. It can arise by associating panic attacks with the places or situations where they occurred and then avoiding them.Not all people with agoraphobia have a history of panic attacks. In these cases, their fear may be related to issues like a fear of crime, terrorism, illness or being in an accident.Read more about the possible causes of agoraphobia.",https://www.nhs.uk/mental-health/conditions/agoraphobia/overview/
2,"
                Overview - Agoraphobia
              ","Speak to your GP if you think you may be affected by agoraphobia. It should be possible to arrange a telephone consultation if you don't feel ready to visit your GP in person.Your GP will ask you to describe your symptoms, how often they occur, and in what situations. It's very important you tell them how you've been feeling and how your symptoms are affecting you.Your GP may ask you the following questions:It can sometimes be difficult to talk about your feelings, emotions, and personal life, but try not to feel anxious or embarrassed. Your GP needs to know as much as possible about your symptoms to make the correct diagnosis and recommend the most appropriate treatment.Read more about diagnosing agoraphobia.",https://www.nhs.uk/mental-health/conditions/agoraphobia/overview/
3,"
                Overview - Agoraphobia
              ","Lifestyle changes may help, including taking regular exercise, eating more healthily, and avoiding alcohol, drugs and drinks that contain caffeine, such as tea, coffee and cola.Self-help techniques that can help during a panic attack include staying where you are, focusing on something that's non-threatening and visible, and slow, deep breathing.If your agoraphobia fails to respond to these treatment methods, see your GP.You can also refer yourself directly for talking therapies, including cognitive behavioural therapy (CBT), without seeing your GP.Read more about talking therapies on the NHSMedication may be recommended if self-help techniques and lifestyle changes aren't effective in controlling your symptoms. You'll usually be prescribed a course of selective serotonin reuptake inhibitors (SSRIs), which are also used to treat anxiety and depression.In severe cases of agoraphobia, medication can be used in combination with other types of treatment, such as CBT and relaxation therapy.Read more about treating agoraphobia.",https://www.nhs.uk/mental-health/conditions/agoraphobia/overview/
4,"
                Symptoms - Agoraphobia
              ","The severity of agoraphobia can vary significantly between individuals.For example, someone with severe agoraphobia may be unable to leave the house, whereas someone who has mild agoraphobia may be able to travel short distances without problems.The symptoms of agoraphobia can be broadly classified into 3 types:",https://www.nhs.uk/mental-health/conditions/agoraphobia/symptoms/
5,"
                Symptoms - Agoraphobia
              ","The physical symptoms of agoraphobia usually only occur when you find yourself in a situation or environment that causes anxiety.However, many people with agoraphobia rarely experience physical symptoms because they deliberately avoid situations that make them anxious.The physical symptoms of agoraphobia can be similar to those of a panic attack and may include:",https://www.nhs.uk/mental-health/conditions/agoraphobia/symptoms/
6,"
                Symptoms - Agoraphobia
              ","The cognitive symptoms of agoraphobia are feelings or thoughts that can be, but aren't always, related to the physical symptoms.Cognitive symptoms may include fear that:There are also psychological symptoms that aren't related to panic attacks, such as:",https://www.nhs.uk/mental-health/conditions/agoraphobia/symptoms/
7,"
                Symptoms - Agoraphobia
              ","Symptoms of agoraphobia relating to behaviour include:Some people are able to force themselves to confront uncomfortable situations, but they feel considerable fear and anxiety while doing so.",https://www.nhs.uk/mental-health/conditions/agoraphobia/symptoms/
8,"
                Symptoms - Agoraphobia
              ",Speak to your GP if you think you have the symptoms of agoraphobia.,https://www.nhs.uk/mental-health/conditions/agoraphobia/symptoms/
9,"
                Causes - Agoraphobia
              ",Agoraphobia can develop as a complication of panic disorder.Agoraphobia can sometimes develop if a person has a panic attack in a specific situation or environment.They begin to worry so much about having another panic attack that they feel the symptoms of a panic attack returning when they're in a similar situation or environment.This causes the person to avoid that particular situation or environment.,https://www.nhs.uk/mental-health/conditions/agoraphobia/causes/
10,"
                Causes - Agoraphobia
              ","As with many mental health conditions, the exact cause of panic disorder isn't fully understood.However, most experts think a combination of biological and psychological factors may be involved.Panic disorder is closely associated with your body's natural ""fight or flight"" response – its way of protecting you from stressful and dangerous situations.Anxiety and fear cause your body to release hormones, such as adrenaline, and your breathing and heart rate are increased. This is your body's natural way of preparing itself for a dangerous or stressful situation.In people with panic disorder, it's thought the fight or flight response is more intense, resulting in a panic attack.Psychological factors that increase your risk of developing agoraphobia include: Occasionally, a person can develop symptoms of agoraphobia even though they don't have a history of panic disorder or panic attacks.This type of agoraphobia can be triggered by a number of different irrational fears (phobias), such as the fear of:",https://www.nhs.uk/mental-health/conditions/agoraphobia/causes/
11,"
                Diagnosis - Agoraphobia
              ","Speak to your GP if you think you have agoraphobia.If you're unable to visit your GP in person, it should be possible to arrange a telephone consultation.Your GP will ask you to describe your symptoms, how often they occur, and in what situations. It's very important to tell your GP about how you've been feeling and how your symptoms are affecting you.They'll also want to know how your symptoms are affecting your daily behaviour. For example, they may ask:It can be difficult to talk to someone else about your feelings, emotions and personal life, but try not to feel anxious or embarrassed. Your GP needs to know as much as possible about your symptoms to make the correct diagnosis and recommend the most appropriate treatment.",https://www.nhs.uk/mental-health/conditions/agoraphobia/diagnosis/
